Date/Time,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Wind Chill,Weather
2012-01-01 00:00:00,-1.8,-3.9,86,24.0,4,8.0,101.24,-3.0,Fog
2012-01-01 01:00:00,-1.8,-3.7,87,25.0,4,8.0,101.24,-3.0,Fog
2012-01-01 02:00:00,-1.8,-3.4,89,23.0,7,4.0,101.26,-4.0,"Freezing Drizzle,Fog"
2012-01-01 03:00:00,-1.5,-3.2,88,23.0,6,4.0,101.27,-4.0,"Freezing Drizzle,Fog"
2012-01-01 04:00:00,-1.5,-3.3,88,23.0,7,4.8,101.23,-4.0,Fog
2012-01-01 05:00:00,-1.4,-3.3,87,23.0,9,6.4,101.27,-5.0,Fog
2012-01-01 06:00:00,-1.5,-3.1,89,25.0,7,6.4,101.29,-4.0,Fog
2012-01-01 07:00:00,-1.4,-3.6,85,24.0,7,8.0,101.26,-4.0,Fog
2012-01-01 08:00:00,-1.4,-3.6,85,21.0,9,8.0,101.23,-5.0,Fog
2012-01-01 09:00:00,-1.3,-3.1,88,18.0,15,4.0,101.2,-6.0,Fog
2012-01-01 10:00:00,-1.0,-2.3,91,16.0,9,1.2,101.15,-4.0,Fog
2012-01-01 11:00:00,-0.5,-2.1,89,12.0,7,4.0,100.98,-3.0,Fog
2012-01-01 12:00:00,-0.2,-2.0,88,9.0,9,4.8,100.79,-3.0,Fog
2012-01-01 13:00:00,0.2,-1.7,87,10.0,13,4.8,100.58,,Fog
2012-01-01 14:00:00,0.8,-1.1,87,8.0,20,4.8,100.31,,Fog
2012-01-01 15:00:00,1.8,-0.4,85,9.0,22,6.4,100.07,,Fog
2012-01-01 16:00:00,2.6,-0.2,82,9.0,13,12.9,99.93,,Mostly Cloudy
2012-01-01 17:00:00,3.0,0.0,81,9.0,13,16.1,99.81,,Cloudy
2012-01-01 18:00:00,3.8,1.0,82,12.0,15,12.9,99.74,,Rain
2012-01-01 19:00:00,3.1,1.3,88,15.0,15,12.9,99.68,,Rain
2012-01-01 20:00:00,3.2,1.3,87,13.0,19,25.0,99.5,,Cloudy
2012-01-01 21:00:00,4.0,1.7,85,14.0,20,25.0,99.39,,Cloudy
2012-01-01 22:00:00,4.4,1.9,84,16.0,24,19.3,99.32,,Rain Showers
2012-01-01 23:00:00,5.3,2.0,79,20.0,30,25.0,99.31,,Cloudy
2012-01-02 00:00:00,5.2,1.5,77,22.0,35,25.0,99.26,,Rain Showers
2012-01-02 01:00:00,4.6,0.0,72,23.0,39,25.0,99.26,,Cloudy
2012-01-02 02:00:00,3.9,-0.9,71,23.0,32,25.0,99.26,,Mostly Cloudy
2012-01-02 03:00:00,3.7,-1.5,69,23.0,33,25.0,99.3,,Mostly Cloudy
2012-01-02 04:00:00,2.9,-2.3,69,23.0,32,25.0,99.26,,Mostly Cloudy
2012-01-02 05:00:00,2.6,-2.3,70,22.0,32,25.0,99.21,,Mostly Cloudy
2012-01-02 06:00:00,2.3,-2.6,70,22.0,26,25.0,99.18,,Mostly Cloudy
2012-01-02 07:00:00,2.0,-2.9,70,23.0,33,25.0,99.14,,Mostly Cloudy
2012-01-02 08:00:00,1.9,-3.3,68,23.0,39,24.1,99.14,,Mostly Cloudy
2012-01-02 09:00:00,1.8,-3.7,67,24.0,44,24.1,99.14,,Mostly Cloudy
2012-01-02 10:00:00,1.5,-4.1,66,25.0,43,24.1,99.18,,Mostly Cloudy
2012-01-02 11:00:00,2.2,-3.5,66,27.0,30,24.1,99.19,,Mostly Cloudy
2012-01-02 12:00:00,1.7,-6.2,56,27.0,48,24.1,99.21,,Mainly Clear
2012-01-02 13:00:00,1.1,-6.5,57,25.0,37,24.1,99.27,,Mostly Cloudy
2012-01-02 14:00:00,1.1,-6.8,56,28.0,33,24.1,99.33,,Mostly Cloudy
2012-01-02 15:00:00,0.0,-7.0,59,27.0,33,24.1,99.41,-7.0,Mostly Cloudy
2012-01-02 16:00:00,-0.7,-8.7,55,27.0,24,24.1,99.5,-7.0,Mostly Cloudy
2012-01-02 17:00:00,-2.1,-9.5,57,29.0,22,25.0,99.66,-8.0,Snow Showers
2012-01-02 18:00:00,-4.1,-11.4,57,29.0,28,25.0,99.86,-12.0,Mostly Cloudy
2012-01-02 19:00:00,-4.8,-12.1,57,28.0,24,25.0,100.0,-12.0,Mostly Cloudy
2012-01-02 20:00:00,-5.6,-13.4,54,29.0,24,25.0,100.07,-13.0,Snow Showers
2012-01-02 21:00:00,-5.8,-12.8,58,29.0,26,25.0,100.15,-14.0,Snow Showers
2012-01-02 22:00:00,-7.0,-14.7,54,28.0,20,25.0,100.26,-14.0,Cloudy
2012-01-02 23:00:00,-7.4,-14.1,59,29.0,17,19.3,100.27,-14.0,Snow Showers
