Titre,synopsis,liens
Le Grand Bain,"C’est dans les couloirs de leur piscine municipale que Bertrand, Marcus, Simon, Laurent, Thierry et les autres s’entraînent sous l’autorité toute relative de Delphine, ancienne gloire des bassins. Ensemble, ils se sentent libres et utiles. Ils vont mettre toute leur énergie dans une discipline jusque-là propriété de la gent féminine : la natation synchronisée. Alors, oui c’est une idée plutôt bizarre, mais ce défi leur permettra de trouver un sens à leur vie...",http://www.allocine.fr/film/fichefilm_gen_cfilm=235582.html
Chair de poule 2 : Les Fantômes d'Halloween,"Sonny Quinn et son meilleur ami au collège, Sam, se font un peu d’argent en récupérant les objets dont les gens ne veulent plus. C’est ainsi qu’ils vont découvrir Slappy, une étrange marionnette de ventriloque tout droit sortie d’un livre Chair de poule jamais publié…Slappy a très envie de faire partie de la famille Quinn auprès de Sonny, sa sœur Sarah et leur mère Kathy, mais ses exploits malfaisants vont beaucoup trop loin. Les enfants réalisent vite qu’ils doivent à tout prix arrêter ce pantin diabolique. Slappy décide alors de se fabriquer la famille dont il rêve… en enlevant madame Quinn et en ramenant à la vie tous ses horribles complices d’Halloween.Alors que leur petite ville tranquille se transforme en enfer peuplé d’une armada de monstres en tous genres, des plus terrifiants aux plus hilarants, les enfants et leur voisin, M. Chu, vont tout faire pour sauver leur mère et la ville des plans machiavéliques de l’épouvantable marionnette déchaînée…",http://www.allocine.fr/film/fichefilm_gen_cfilm=247007.html
Halloween,"Laurie Strode est de retour pour un affrontement final avec Michael Myers, le personnage masqué qui la hante depuis qu’elle a échappé de justesse à sa folie meurtrière le soir d’Halloween 40 ans plus tôt.",http://www.allocine.fr/film/fichefilm_gen_cfilm=238622.html
Jean-Christophe & Winnie,"Le temps a passé. Jean-Christophe, le petit garçon qui adorait arpenter la Forêt des Rêves bleus en compagnie de ses adorables et intrépides animaux en peluche, est désormais adulte. Mais avec l'âge, il est devenu sérieux et a perdu toute son imagination. Pour lui rappeler l’enfant attachant et enjoué qu'il n’a jamais cessé d’être, ses célèbres amis vont prendre tous les risques, y compris celui de s'aventurer dans notre monde bien réel…",http://www.allocine.fr/film/fichefilm_gen_cfilm=251837.html
Cold War,"Pendant la guerre froide, entre la Pologne stalinienne et le Paris bohème des années 1950, un musicien épris de liberté et une jeune chanteuse passionnée vivent un amour impossible dans une époque impossible.",http://www.allocine.fr/film/fichefilm_gen_cfilm=252203.html
Quién te cantará,"Lila Cassen, ancienne star de la chanson des années 90, prépare son grand retour sur scène. Mais un accident la rend alors amnésique. Avec l'aide de Violeta, sa plus grande fan et imitatrice, Lila va apprendre à redevenir qui elle était.",http://www.allocine.fr/film/fichefilm_gen_cfilm=253056.html
La Tendre indifférence du monde,"La belle Saltanat et son chevalier servant Kuandyk sont amis depuis l’enfance. Criblée de dettes, la famille de Saltanat l’envoie dans la grande ville où elle est promise à un riche mariage. Escortée par Kuandyk qui veille sur elle, Saltanat quitte son village pour l’inconnu. Les deux jeunes gens se trouvent entraînés malgré eux dans une suite d’événements cruels et tentent d’y résister de toutes les façons possibles.",http://www.allocine.fr/film/fichefilm_gen_cfilm=264018.html
Bamse au pays des voleurs,"Bamse est l'ourson le plus fort du monde grâce au ""miel du tonnerre"" concocté par sa grand-mère. Il lui procure une force incroyable ! Il est aussi très gentil : il protège et aide tous ceux qui sont en danger ou malheureux, et tout le monde l'aime dans son village. Mais quelqu'un de mystérieux lui en veut et kidnappe sa grand-mère. Bamse va devoir braver les dangers de la forêt des Trolls pour la délivrer des griffes des méchants... Heureusement qu'il est accompagné par la petite Marianne qui n'a pas froid aux yeux !",http://www.allocine.fr/film/fichefilm_gen_cfilm=232881.html
La Fille du Far-West (Met - Pathé Live),"Au temps de la Ruée vers l’or, Minnie, la patronne d’un saloon, s’éprend d’un étranger, Dick Johnson. Elle ignore qu’il s’agit en fait du célèbre bandit Ramerrez recherché par le shérif Jack Rance. Lorsqu’il est découvert, Minnie tente tout pour sauver son amant, jusqu’à jouer sa vie lors d’une partie de poker.
Pourquoi aller voir cet opéra ? Habitué des rôles de héros, le grand ténor Jonas Kaufmann se glisse cette fois dans la peau d’un bandit pour capturer le cœur de la soprano Eva-Maria Westbroek. À travers cette production aux allures de western, La Fille du Far-West dépeint avec force l’amour de la liberté.
Opéra en italien sous-titré en français.",http://www.allocine.fr/film/fichefilm_gen_cfilm=263344.html
Die Walküre (Royal Opera House),"Le cycle du Ring de Wagner est l’un des plus grands ouvrages de la scène lyrique. La production de Keith Warner est dirigée par Antonio Pappano, le directeur musical du Royal Opera, et cette ultime reprise est interprétée par une distribution internationale exceptionnelle de spécialistes du chant wagnérien. Les quatre opéras du cycle complet vont de la naissance d’un monde à sa destruction et sont peuplés de dieux, de héros et de monstres. Ce mythe épique parcourt le spectre des émotions humaines à travers une musique et des idées d’une puissance extraordinaire. Le Ring est toujours un événement considérable dans un calendrier d’opéra : quand on en a fait une fois l’expérience, plus jamais on ne l’oublie.",http://www.allocine.fr/film/fichefilm_gen_cfilm=263607.html
Dilili à Paris,"Dans le Paris de la Belle Époque, en compagnie d’un jeune livreur en triporteur, la petite kanake Dilili mène une enquête sur des enlèvements mystérieux de fillettes. Elle rencontre des hommes et des femmes extraordinaires, qui lui donnent des indices. Elle découvre sous terre des méchants très particuliers, les Mâles-Maîtres. Les deux amis lutteront avec entrain pour une vie active dans la lumière et le vivre-ensemble…",http://www.allocine.fr/film/fichefilm_gen_cfilm=243835.html
Alad'2,"Après avoir libéré Bagdad de l’emprise de son terrible Vizir, Aladin s’ennuie au palais et ne s’est toujours pas décidé à demander en mariage la princesse. Mais un terrible dictateur, Shah Zaman, s’invite au Palais et annonce qu’il est venu prendre la ville et épouser la Princesse. Aladin n’a pas d’autre choix que de s’enfuir du Palais… Il va tenter de récupérer son ancien Génie et revenir en force pour libérer la ville et récupérer sa promise.",http://www.allocine.fr/film/fichefilm_gen_cfilm=242449.html
Yéti & Compagnie,"Vivant dans un petit village reculé, un jeune et intrépide yéti découvre une créature étrange qui, pensait-il jusque-là, n'existait que dans les contes : un humain ! Si c'est pour lui l'occasion de connaître la célébrité – et de conquérir la fille de ses rêves –, cette nouvelle sème le trouble dans la communauté yéti. Car qui sait les surprises que leur réserve encore le vaste monde ?",http://www.allocine.fr/film/fichefilm_gen_cfilm=230803.html
Venom,"Possédé par un symbiote qui agit de manière autonome, le journaliste Eddie Brock devient le protecteur létal Venom.",http://www.allocine.fr/film/fichefilm_gen_cfilm=138473.html
Le Jeu,"Le temps d’un diner, des couples d’amis décident de jouer à un « jeu » : chacun doit poser son téléphone portable au milieu de la table et chaque SMS, appel téléphonique, mail, message Facebook, etc. devra être partagé avec les autres. Il ne faudra pas attendre bien longtemps pour que ce « jeu » se transforme en cauchemar.",http://www.allocine.fr/film/fichefilm_gen_cfilm=259649.html
